,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Moderate_Severity(ha),High_Severity(ha)
769,SHAFFER,40.42,-120.314,2001,8,491.22,39.51,0.0
770,HYAMPOM,40.578,-123.222,2001,8,480.6,165.15,172.89
771,OBSERVATION,40.734,-120.178,2001,8,27293.49,14513.76,1730.7
772,OREGON,40.743,-122.968,2001,8,714.06,190.44,377.91
773,GRASSHOPPER,40.81,-120.727,2001,7,445.14,127.53,3.42
774,BLUE COMPLEX (BLUE),41.182,-120.246,2001,8,12392.46,4118.04,3651.75
775,HAPPY CAMP COMPLEX (SWILLUP),41.625,-123.539,2001,9,3531.6,1091.7,613.17
776,MODOC COMPLEX (BELL),41.723,-120.963,2001,8,1276.2,419.67,91.89
777,CLEAR,41.849,-121.112,2001,7,1968.66,24.21,0.36
778,JONES,41.868,-122.761,2001,5,509.04,283.14,49.14
779,MODOC COMPLEX (ROCK),41.903,-120.848,2001,8,702.45,189.45,24.84
780,MARTIS,39.365,-120.0,2001,6,2245.59,648.09,1246.41
781,FISH,40.036,-119.993,2001,8,3839.85,2669.85,195.3
782,TROY,32.826,-116.392,2002,6,517.77,309.15,162.54
783,PINES,33.146,-116.574,2002,7,26474.04,9218.88,3943.35
784,GAVILAN,33.395,-117.268,2002,2,2341.44,392.58,14.94
785,ANTONIO,33.6,-117.606,2002,5,518.76,112.05,6.3
786,GREEN,33.852,-117.685,2002,2,819.63,299.16,31.86
787,UNNAMED,33.885,-117.681,2002,7,407.52,80.1,0.18
788,WILLIAMS,34.195,-117.777,2002,9,15177.96,7077.15,2816.28
789,ARROWHEAD,34.196,-117.241,2002,5,1062.99,581.58,38.25
790,LOUISIANA,34.29,-117.473,2002,6,2691.54,1306.08,82.08
791,CURVE,34.306,-117.815,2002,9,8324.01,3967.83,894.15
792,BLUECUT,34.312,-117.444,2002,6,2912.76,1266.84,203.31
793,OASIS,34.459,-118.277,2002,9,484.83,239.31,2.52
794,BOUQUET,34.539,-118.436,2002,5,1880.28,1440.36,105.57
795,SUDDEN RANCH,34.547,-120.532,2002,6,3172.32,1962.54,177.03
796,COPPER,34.558,-118.482,2002,6,7707.42,5627.88,871.2
797,LEONA,34.585,-118.275,2002,9,2058.3,1232.82,639.54
798,WOLF,34.593,-119.211,2002,6,8537.58,4481.91,2713.59
799,UNNAMED,34.594,-119.488,2002,6,990.45,244.98,21.42
800,COPCO,34.74,-118.781,2002,6,611.73,350.19,149.49
801,HIGHWAY 58,35.433,-120.527,2002,7,563.22,300.78,171.45
802,BOREL,35.607,-118.5,2002,6,1411.29,173.52,0.45
803,DAVIS,35.689,-120.212,2002,6,883.44,590.04,22.59
804,UNNAMED,35.915,-121.209,2002,6,1385.55,758.43,89.46
805,STAGE,35.931,-118.925,2002,6,476.73,374.13,84.33
806,UNNAMED,36.02,-120.031,2002,7,708.57,457.11,3.33
807,SULPHUR SPRINGS,36.042,-121.239,2002,7,758.34,440.19,51.66
808,MCNALLY,36.067,-118.4,2002,7,59291.91,25294.5,20778.48
809,UNNAMED,36.369,-121.487,2002,7,498.96,190.89,130.23
810,CROY,37.078,-121.763,2002,9,1257.3,558.18,383.94
811,INYO COMPLEX (FULLER),37.104,-118.374,2002,7,2709.45,1317.78,103.05
812,BIRCH,37.539,-118.663,2002,7,1041.03,610.92,316.71
813,PW-03 GIN FLAT,37.789,-119.76,2002,10,1386.9,621.72,60.03
814,CANNON,38.488,-119.464,2002,6,10159.74,3487.5,3666.78
815,SLINKARD,38.65,-119.567,2002,7,3602.16,1465.92,999.0
816,PLUM,38.746,-120.398,2002,11,746.73,201.78,66.06
817,PINE,38.862,-122.924,2002,11,431.73,195.93,38.61
818,16,38.893,-122.265,2002,10,615.69,55.98,0.99
819,PANTHER,40.587,-122.548,2002,11,555.57,124.56,16.2
820,BLACK,40.611,-120.52,2002,7,686.34,402.93,149.67
821,RUSH,40.632,-120.102,2002,7,2101.14,1468.98,2.07
822,CONE,40.752,-121.158,2002,9,724.05,242.64,337.41
823,FORKS,41.273,-123.321,2002,6,600.84,205.47,196.65
824,MUSSOLINI,41.461,-122.516,2002,7,1258.47,201.33,61.02
825,STANZA,41.669,-123.314,2002,7,1251.54,489.24,345.78
826,BISCUIT COMPLEX (BISCUIT),42.441,-123.904,2002,7,11992.5,5228.73,5647.05
827,MATEO,33.442,-117.481,2002,5,1246.68,1225.8,0.0
828,SKYWAY,39.686,-121.716,2002,6,881.55,868.59,0.99
829,MITTRY,32.852,-114.458,2003,3,54.81,28.35,3.87
830,MINE/OTAY,32.621,-116.849,2003,10,15058.26,7334.28,4239.81
831,CEDAR,32.939,-116.766,2003,10,108600.03,50163.66,32405.22
832,PARADISE,33.204,-116.916,2003,10,22661.91,9642.24,7404.93
833,UNNAMED,33.324,-116.656,2003,6,1098.99,574.11,9.36
834,COYOTE,33.388,-116.582,2003,7,7776.09,4113.27,2164.5
835,ROBLAR 2,33.414,-117.382,2003,10,3263.22,1501.02,1073.61
836,MOUNTAIN,33.601,-116.982,2003,10,4302.27,1792.98,44.91
837,STAGE,33.638,-116.967,2003,7,811.53,628.92,9.36
838,CANYON,33.802,-116.88,2003,7,1790.46,907.47,63.18
839,LOCUST,33.982,-117.164,2003,8,774.54,99.18,0.0
840,PASS,33.996,-117.257,2003,10,993.42,88.47,0.0
841,PACIFIC,34.044,-118.873,2003,1,432.9,158.85,174.42
842,PADUA,34.173,-117.689,2003,10,4278.51,2167.83,909.63
843,BRIDGE,34.176,-117.173,2003,9,477.63,311.13,91.71
844,GRAND PRIX,34.186,-117.473,2003,10,20557.17,10014.3,5079.6
845,OLD,34.247,-117.284,2003,10,36496.44,16390.26,9216.27
846,SIMI,34.335,-118.792,2003,10,43606.71,12560.58,3429.09
847,VERDALE,34.426,-118.716,2003,10,3434.4,359.46,2.16
848,PIRU,34.48,-118.861,2003,10,25868.34,14282.91,7260.21
849,HAUSER,34.564,-118.294,2003,7,865.26,431.82,149.4
850,TEJON,34.852,-118.886,2003,6,483.12,267.48,92.34
851,GRAPEVINE,34.902,-118.91,2003,7,790.83,576.36,83.52
852,LIGHTNING,35.005,-114.652,2003,7,424.44,159.3,192.51
853,CHIMNEY,35.041,-120.209,2003,8,516.6,171.81,4.86
854,UNNAMED,35.18,-118.478,2003,7,533.88,54.54,0.18
855,CALIENTE,35.311,-118.665,2003,6,503.82,213.75,0.09
856,PARKHILL,35.416,-120.468,2003,7,507.6,196.2,253.17
857,BASIN,35.43,-118.439,2003,7,424.26,204.93,91.71
858,UNNAMED,35.988,-121.3,2003,8,1096.92,427.41,18.63
859,ALBANITA AND HOOKER,36.118,-118.21,2003,9,2001.33,879.21,319.68
860,SUMMIT COMPLEX,36.229,-118.141,2003,8,2574.72,1170.27,373.41
861,KAWEAH-KERN COMPLEX (PARADISE 2),36.487,-118.746,2003,9,529.65,140.67,12.15
862,I-5,36.877,-120.963,2003,6,445.32,372.06,0.0
863,152,37.096,-121.167,2003,6,689.94,566.19,34.2
864,ANNIE,37.23,-121.245,2003,8,7032.96,1492.38,15.03
865,JUMP,37.387,-121.522,2003,8,1949.13,849.69,24.3
866,DEL PUERTO,37.432,-121.402,2003,7,2606.94,883.71,20.61
867,DEVIL,37.492,-121.572,2003,8,2014.56,404.55,82.44
868,BIRD,37.551,-121.335,2003,6,3124.44,2460.87,202.77
869,MOUNTAIN COMPLEX,38.146,-119.9,2003,7,1631.52,576.0,171.9
870,WHITT,38.382,-119.988,2003,8,460.8,245.79,69.57
871,MORGAN,38.831,-122.453,2003,9,996.66,478.17,207.81
872,FORTY,38.916,-122.282,2003,9,529.74,75.78,0.36
873,GRINDSTONE COMPLEX (DEAFY),39.504,-122.821,2003,9,1984.32,685.35,1021.95
874,GRINDSTONE COMPLEX (HAPPY CAMP),39.531,-122.727,2003,9,859.5,353.16,89.37
875,SPANISH,39.634,-122.828,2003,9,2584.71,899.55,836.37
876,CHILCOOT COMPLEX,39.761,-120.133,2003,7,2331.54,1417.23,366.03
877,HONEYDEW,40.161,-124.134,2003,9,5124.42,1707.84,1442.25
878,CANOE,40.259,-123.918,2003,9,4403.43,1077.93,439.74
879,A-3,40.337,-120.443,2003,7,466.56,150.66,6.03
880,SECRET,40.628,-120.24,2003,10,455.31,124.92,0.18
881,WHITMORE,40.631,-121.848,2003,10,500.58,72.36,375.03
882,SMOKE,40.699,-119.999,2003,7,1995.84,491.04,0.09
883,LOMA,40.789,-123.301,2003,9,1508.04,428.76,220.41
884,BARBER,41.253,-120.088,2003,7,574.65,253.17,46.08
885,ACKLEY,41.743,-121.328,2003,7,4137.39,250.38,0.0
886,BORDER,32.585,-116.514,2004,9,363.24,304.02,3.15
887,MATAGUAY,33.216,-116.651,2004,7,3633.93,2009.97,1385.37
888,INDIA,33.381,-117.318,2004,5,864.9,497.52,78.39
889,EAGLE,33.481,-117.004,2004,5,3771.72,2246.58,283.59
890,PLEASURE,33.5,-116.843,2004,4,1056.6,531.0,3.96
891,MELTON,33.608,-116.882,2004,7,1602.27,869.04,12.78
892,CERRITO,33.76,-117.381,2004,5,7233.48,2684.79,24.21
893,VERBENIA,33.878,-116.704,2004,7,1619.64,426.69,16.83
894,COTTONWOOD,33.99,-116.681,2004,5,758.52,113.13,0.0
895,RUNWAY,34.355,-117.497,2004,9,572.58,421.74,4.23
896,CROWN COMPLEX (FOOTHILL),34.37,-118.47,2004,7,2617.02,1037.52,578.61
897,CROWN COMPLEX (CROWN),34.454,-118.113,2004,7,5055.39,1563.21,20.7
898,GAVIOTA,34.487,-120.196,2004,6,3083.76,1043.28,205.83
899,EAST,34.597,-118.691,2004,8,568.53,275.49,20.61
900,CACHUMA,34.724,-119.901,2004,5,432.18,223.38,118.8
901,PINE,34.741,-118.608,2004,7,7409.34,3120.93,1551.87
902,DEEP,36.174,-118.722,2004,8,1363.05,453.69,467.46
903,GATOS,36.237,-120.573,2004,7,407.97,79.65,0.18
904,KINCAID,37.419,-121.666,2004,8,493.38,154.8,108.09
905,OLD HWY,37.487,-119.948,2004,9,563.85,267.12,23.94
906,PELICAN,37.625,-121.196,2004,7,589.77,266.4,126.45
907,EARLY,37.886,-119.946,2004,8,696.69,276.57,360.72
908,CALAVERAS COMPLEX,37.917,-120.674,2004,8,1490.13,1192.77,130.95
909,HETCHY,37.964,-119.727,2004,10,831.15,288.18,182.25
910,PATTISON,38.173,-120.871,2004,9,1157.49,613.8,225.0
911,ARMSTRONG,38.187,-120.425,2004,8,436.41,130.68,237.69
912,POWER,38.502,-120.28,2004,10,6985.17,2268.36,3406.77
913,DANA,38.598,-119.548,2004,6,1236.33,378.72,137.16
914,GEYSERS,38.729,-122.746,2004,9,4886.28,2246.31,1199.25
915,RUMSEY,38.757,-122.274,2004,10,15918.03,7276.23,390.6
916,FREDS,38.787,-120.318,2004,10,3297.06,887.4,1952.64
917,OREGON,39.597,-121.499,2004,8,803.43,383.94,280.26
918,POWER TOWER,40.59,-122.525,2004,3,632.7,77.13,10.26
919,SIMS,40.702,-123.544,2004,7,1540.89,409.95,888.93
920,BEAR,40.718,-122.194,2004,8,4437.36,1720.98,772.29
921,FRENCH,40.74,-122.703,2004,8,5537.25,2755.17,1267.02
922,STRAYLOR,40.826,-121.078,2004,7,1412.82,517.14,361.17
923,IRONGATE,41.951,-122.455,2004,7,946.44,156.69,711.36
924,BORDER 50,32.577,-116.722,2005,10,1239.57,674.64,98.1
925,UNNAMED,33.336,-117.397,2005,9,603.27,272.88,0.81
926,SOBOBA,33.817,-116.918,2005,6,822.15,377.91,2.43
927,BLAISDELL,33.868,-116.638,2005,8,2160.27,415.26,1.17
928,YORBA LINDA,33.921,-117.764,2005,7,502.92,271.98,31.41
929,WOODHOUSE,33.956,-117.111,2005,10,2574.09,1989.99,187.29
930,SAN TIMOTEO,33.975,-117.15,2005,9,424.08,345.78,13.77
931,PARADISE,34.049,-116.559,2005,6,1400.67,883.98,7.92
932,THURMAN,34.116,-117.008,2005,10,435.15,153.54,217.17
933,PIONEER,34.177,-116.502,2005,6,811.08,499.95,0.0
934,HARVARD,34.215,-118.295,2005,9,415.17,125.01,6.12
935,TOPANGA,34.218,-118.696,2005,9,9765.99,4657.14,4282.47
936,SCHOOL,34.307,-119.264,2005,11,1442.97,223.65,10.17
937,TOVEY,34.541,-118.161,2005,7,479.43,347.94,16.29
938,MUNZ,34.693,-118.37,2005,6,563.58,55.53,0.27
939,GORMAN,34.811,-118.877,2005,9,987.66,562.5,195.48
940,HACKBERRY COMPLEX,35.086,-115.317,2005,6,28258.38,15356.07,37.98
941,HIGH,35.093,-118.384,2005,7,417.06,302.58,5.31
942,RANGE,35.307,-116.757,2005,5,1000.53,18.54,0.0
943,HALLORAN,35.392,-115.775,2005,8,422.46,19.71,0.0
944,PINE,35.539,-118.834,2005,9,768.42,553.14,11.79
945,CARO,35.608,-119.837,2005,7,532.35,97.56,0.0
946,NINE,35.693,-118.422,2005,7,501.84,392.4,5.22
947,UNNAMED,35.768,-120.831,2005,6,517.14,446.94,27.72
948,KINGSTON,35.81,-115.916,2005,7,1512.99,698.76,0.0
949,CHINA LAKE,35.925,-117.486,2005,7,4114.89,3188.88,4.14
950,UNNAMED,35.933,-121.219,2005,8,15811.56,5585.85,532.98
951,UNNAMED,36.009,-117.635,2005,8,3659.67,1991.52,0.0
952,FIVE,36.489,-120.458,2005,6,1059.3,928.89,24.84
953,MILLWOOD,36.517,-119.108,2005,7,1213.29,876.24,33.12
954,JOHNSON,36.54,-121.361,2005,6,566.91,462.78,13.77
955,BAILEY,37.282,-119.853,2005,7,471.06,94.95,0.54
956,TESLA,37.661,-121.565,2005,7,2685.6,1644.03,434.16
957,DEER,39.374,-122.844,2005,8,688.59,185.22,336.6
958,HARDING,39.635,-120.321,2005,8,955.26,352.08,293.67
959,36,40.3,-122.734,2005,8,917.55,295.92,1.71
960,MANTON,40.444,-121.855,2005,8,916.83,349.2,146.43
961,WOOLEY,41.489,-123.27,2005,9,1310.31,332.46,175.14
962,I-5,36.818,-120.804,2005,8,1547.46,1220.67,311.13
963,DOS AMIGOS,36.903,-120.823,2005,6,569.07,425.61,0.0
964,HORSE,32.717,-116.622,2006,7,6764.4,4391.64,2028.78
965,EMPIRE,33.41,-118.453,2006,7,387.99,181.62,0.99
966,SIERRA,33.823,-117.69,2006,2,3801.15,2399.67,1104.39
967,ESPERANZA,33.861,-116.879,2006,10,16414.29,7320.69,1121.94
968,PUSHWALLA,33.879,-116.088,2006,7,998.37,299.79,0.0
969,RANCH,33.952,-116.919,2006,9,839.07,665.1,89.01
970,ORCHARD,33.981,-117.021,2006,9,650.97,506.88,57.33
971,WHISPERING PINES,34.071,-116.34,2006,7,576.27,146.52,0.0
972,EMERALD,34.092,-117.057,2006,8,851.49,612.27,100.89
973,MILLARD,34.114,-116.62,2006,7,35041.59,20350.89,1085.67
974,PINNACLES,34.323,-117.2,2006,9,1072.8,405.63,3.87
975,SHEKELL,34.329,-118.894,2006,12,4165.83,2456.37,31.95
976,DAY,34.615,-118.971,2006,9,64631.88,29605.5,24214.41
977,QUAIL,34.805,-118.819,2006,8,2004.21,1012.59,351.81
978,PERKINS,34.851,-119.695,2006,6,5804.37,3069.0,1673.01
979,RIDGE,34.913,-119.297,2006,7,1006.92,593.55,33.03
980,BALD,34.93,-119.961,2006,7,839.97,552.96,187.11
981,TOUGH NUT,35.001,-115.524,2006,7,460.17,259.83,0.72
982,CUYAMA,35.05,-119.895,2006,10,424.89,219.78,0.45
983,MOCAL,35.211,-119.676,2006,5,418.68,169.38,0.0
984,BECK,35.281,-119.837,2006,7,708.03,457.83,67.14
985,COTTONWOOD,35.416,-118.267,2006,8,966.15,473.94,191.61
986,NET,35.688,-120.08,2006,8,628.38,373.68,41.22
987,DEVIL,35.757,-119.997,2006,6,459.09,218.43,32.58
988,ALPAUGH,35.821,-119.511,2006,5,607.86,437.13,26.37
989,CALICO,36.009,-116.532,2006,7,3752.55,848.7,0.0
990,COYOTE,36.061,-118.894,2006,7,560.61,443.16,69.93
991,ALMAZAN,36.12,-120.402,2006,5,863.19,173.07,0.0
992,BRODER WFU,36.145,-118.173,2006,7,1410.3,804.42,179.55
993,PHELPS,36.159,-120.251,2006,10,672.12,377.73,9.36
994,THREE ROCKS,36.501,-120.504,2006,7,3778.47,2260.26,74.7
995,GOODALE,36.96,-118.283,2006,6,1717.56,1397.97,0.0
996,STUHR,37.331,-121.135,2006,5,625.86,52.11,7.47
997,CANYON,37.36,-121.345,2006,7,14911.92,8363.43,1292.4
998,MIDWAY,37.677,-121.513,2006,7,2566.44,1632.42,269.55
999,SAWMILL,37.804,-118.63,2006,9,2870.37,1767.42,238.5
1000,PEDRO,37.806,-120.376,2006,7,899.82,444.51,214.2
1001,ZAM ASSIST,38.754,-121.905,2006,9,5828.58,4192.11,540.27
1002,RALSTON,39.024,-120.681,2006,9,3224.88,1546.56,817.56
1003,BASSETTS,39.633,-120.589,2006,9,939.6,304.11,426.87
1004,HUNTER,39.662,-122.927,2006,7,6782.85,2464.29,1129.05
1005,BALLS CANYON,39.666,-120.079,2006,6,792.0,317.07,339.66
1006,NOBLE,39.963,-123.717,2006,9,500.85,197.64,80.01
1007,BOULDER,40.195,-120.577,2006,6,1161.45,597.78,299.52
1008,CREEK,40.371,-120.701,2006,7,681.03,252.45,210.69
1009,JUNCTION,40.742,-123.004,2006,7,1343.25,539.55,313.92
1010,OBSERVATION,40.76,-120.149,2006,6,1117.17,675.45,13.59
1011,PIGEON,40.951,-123.202,2006,9,40856.67,14038.29,9569.25
1012,RUSH,41.091,-123.006,2006,7,2136.96,912.24,261.0
1013,ORLEANS COMPLEX,41.336,-123.465,2006,7,6459.84,1676.97,558.09
1014,UNCLES COMPLEX,41.414,-123.177,2006,7,1534.77,535.41,519.39
1015,HANCOCK,41.426,-123.306,2006,7,9427.68,3203.91,1541.16
1016,HIGH,41.446,-121.309,2006,6,1182.15,455.67,48.24
1017,HOY,41.487,-122.397,2006,7,556.83,323.46,82.26
1018,HOTLUM,41.512,-122.315,2006,2,1282.86,664.47,39.51
1019,TITUS,41.609,-123.355,2006,7,2475.81,814.14,731.34
1020,SAGE,41.708,-120.504,2006,7,2215.35,131.76,8.73
1021,JACKASS,38.592,-119.376,2006,7,308.34,87.84,154.89
1022,BOOTLEGGER,40.008,-119.969,2006,8,164.97,53.19,0.81
1023,CIBOLA,33.323,-114.705,2006,7,640.35,454.32,132.84
1024,BUTTE 2,35.992,-117.025,2006,7,714.24,694.17,7.29
1025,RICO,36.05,-120.693,2006,7,4778.55,4052.97,712.89
1026,INKOPAH,32.609,-116.057,2007,6,456.12,48.96,0.09
1027,HARRIS,32.646,-116.771,2007,10,36526.86,11640.87,3380.94
1028,PINE,32.786,-116.534,2007,9,932.04,491.13,238.77
1029,WITCH,33.079,-116.766,2007,10,67648.14,26069.49,5025.96
1030,POOMACHA,33.3,-116.92,2007,10,19220.76,7114.77,4576.32
1031,AMMO FIRE,33.346,-117.472,2007,10,7346.07,4218.75,895.32
1032,ISLAND,33.359,-118.364,2007,5,2001.33,1131.12,194.49
1033,RICE,33.384,-117.18,2007,10,4053.87,1310.22,475.47
1034,SANTIAGO,33.72,-117.66,2007,10,11171.52,5113.08,1492.47
1035,241 FIRE,33.828,-117.747,2007,3,750.33,217.17,0.54
1036,CANYON,34.053,-118.678,2007,10,2237.13,905.22,18.63
1037,CORRAL,34.054,-118.748,2007,11,2220.57,844.65,460.71
1038,GRIFFITH PARK,34.134,-118.311,2007,5,463.41,226.17,115.74
1039,SLIDE,34.231,-117.095,2007,10,5207.85,2549.07,1256.4
1040,GRASS VALLEY,34.267,-117.228,2007,10,593.91,269.64,80.73
1041,BUTLER 2,34.289,-116.993,2007,9,5976.72,3582.09,987.93
1042,LOS FLORES,34.361,-117.269,2007,3,1954.98,599.94,0.0
1043,MAGIC,34.404,-118.622,2007,10,1083.33,334.08,10.71
1044,NORTH,34.416,-118.25,2007,9,985.05,365.13,70.29
1045,BUCKWEED,34.515,-118.446,2007,10,16726.32,5478.3,202.14
1046,RANCH,34.516,-118.727,2007,10,14978.16,5952.87,551.61
1047,ZACA,34.695,-119.659,2007,7,97876.8,32836.68,53777.43
1048,GORMAN,34.758,-118.812,2007,5,1053.72,447.66,2.16
1049,WHITE,34.986,-118.431,2007,6,4768.65,1182.69,191.97
1050,GOLDLEDGE,35.878,-118.428,2007,6,1686.78,1123.83,245.16
1051,TAR,35.928,-120.297,2007,8,2184.21,1108.26,676.35
1052,SHANNON,35.984,-118.853,2007,6,948.06,749.88,9.45
1053,GOLDEN,36.03,-116.594,2007,4,834.75,99.45,0.0
1054,ROCK 2,36.042,-118.781,2007,7,437.67,315.09,4.59
1055,GROUSE,36.285,-118.428,2007,8,433.44,165.15,168.66
1056,INYO COMPLEX (OAK),36.848,-118.279,2007,7,11512.8,2096.73,622.53
1057,INYO COMPLEX (SAGE),37.154,-118.353,2007,7,2662.47,761.13,8.1
1058,LICK,37.223,-121.428,2007,9,19188.36,8735.58,3450.51
1059,JACK,37.573,-119.663,2007,10,457.83,166.68,15.66
1060,LARSON,38.551,-119.513,2007,6,491.76,237.69,89.91
1061,PHILLIPS,38.811,-121.383,2007,7,426.24,136.26,208.8
1062,ANGORA,38.886,-120.04,2007,6,1220.13,349.2,709.29
1063,BANGOR,39.351,-121.458,2007,8,460.71,380.16,40.86
1064,BALLS CANYON,39.684,-120.051,2007,7,1842.39,957.24,595.98
1065,ANTELOPE COMPLEX (WHEELER),40.139,-120.582,2007,7,9349.74,2735.82,4947.75
1066,MOONLIGHT,40.22,-120.736,2007,9,26594.64,6499.08,17069.04
1067,WALLOW,40.492,-123.343,2007,8,621.45,203.4,334.89
1068,POWER,41.012,-121.486,2007,7,425.88,262.17,9.45
1069,ELK COMPLEX (ELK),41.617,-123.279,2007,7,551.79,207.36,129.06
1070,ELK COMPLEX (KING CREEK 2),41.681,-123.414,2007,7,5746.05,2262.24,1422.81
1071,ELK COMPLEX (LITTLE GRIDER),41.804,-123.412,2007,7,970.47,352.53,145.62
1072,CHINA BACK COMPLEX,41.842,-122.703,2007,7,1280.34,447.39,190.17
1073,FLETCHER,41.971,-120.545,2007,7,2680.92,998.91,979.74
1074,BROWN,35.624,-119.768,2007,6,546.93,181.35,363.42
1075,JAMES,35.749,-118.398,2007,4,841.86,831.42,0.72
1076,NOVEMBER,33.274,-117.332,2008,10,1524.06,101.88,18.27
1077,JULIET,33.301,-117.288,2008,10,953.91,212.13,0.54
1078,YELLOW,33.392,-117.455,2008,7,13214.43,2573.28,71.73
1079,FREEWAY COMPLEX,33.919,-117.753,2008,11,11877.3,6474.42,3421.44
1080,SESNON,34.307,-118.604,2008,10,6162.75,3506.76,1546.29
1081,MAREK,34.309,-118.382,2008,10,2000.43,1228.77,350.64
1082,SAYRE,34.339,-118.462,2008,11,4544.82,1575.54,2171.61
1083,TEA,34.454,-119.676,2008,11,779.31,477.63,72.45
1084,GAP,34.485,-119.866,2008,7,3792.78,2428.47,552.06
1085,PIUTE,35.495,-118.34,2008,6,14669.01,7387.47,3083.67
1086,CHALK,36.016,-121.468,2008,9,6238.53,2820.33,1044.63
1087,CLOVER,36.133,-118.084,2008,5,5980.14,2185.83,1553.67
1088,BASIN COMPLEX (INDIANS),36.136,-121.378,2008,6,23919.3,11919.87,7876.98
1089,BASIN COMPLEX,36.212,-121.578,2008,6,66583.53,27380.43,15883.65
1090,HIDDEN,36.603,-118.829,2008,9,1498.41,743.76,288.36
1091,BROWN,36.686,-120.921,2008,6,1609.56,203.22,0.0
1092,AVOCADO,36.791,-119.371,2008,5,503.73,359.82,0.09
1093,TEHIPITE,36.941,-118.811,2008,7,4938.12,2467.89,500.49
1094,41 FIRE,36.989,-119.766,2008,6,1054.53,954.81,14.67
1095,SUMMIT,37.047,-121.794,2008,5,1472.31,616.41,525.69
1096,OLIVER,37.499,-119.74,2008,6,1154.61,583.38,354.15
1097,TELEGRAPH,37.607,-120.015,2008,7,13547.25,8152.02,2110.59
1098,NORTH MOUNTAIN,37.899,-119.897,2008,6,1135.98,701.19,162.54
1099,WILD,38.301,-122.169,2008,6,1654.83,882.72,108.27
1100,GLADDING,38.916,-121.252,2008,9,418.5,188.73,47.61
1101,MEU LIGHTNING COMPLEX (SUGARLOAF),38.999,-123.503,2008,6,3378.69,956.7,177.3
1102,MEU LIGHTNING COMPLEX (COWSHED  LIGHTNING),39.029,-123.611,2008,6,1957.32,450.54,40.95
1103,MEU LIGHTNING COMPLEX (CLIFF),39.053,-123.568,2008,6,1758.87,419.31,45.81
1104,WALKER,39.066,-122.479,2008,6,5035.23,2086.47,1775.79
1105,MEU LIGHTNING COMPLEX (LOW GAP),39.156,-123.383,2008,7,864.45,248.4,33.57
1106,TWENTY,39.184,-121.482,2008,6,425.52,168.48,17.01
1107,MEU LIGHTNING COMPLEX (NAVARRO),39.185,-123.619,2008,6,1302.3,488.43,46.08
1108,AMERICAN RIVER COMPLEX (GOVERNMENT),39.208,-120.596,2008,6,8382.6,3551.76,3319.83
1109,MEU LIGHTNING COMPLEX (ORR),39.218,-123.392,2008,7,680.58,161.64,31.5
1110,MEU LIGHTNING COMPLEX (JACK SMITH),39.265,-123.322,2008,7,433.8,116.64,22.86
1111,YUBA RIVER COMPLEX (SCOTCHMAN),39.35,-120.766,2008,6,487.44,189.9,160.29
1112,SODA COMPLEX (BACK),39.37,-122.977,2008,6,705.69,345.24,108.54
1113,YUBA RIVER COMPLEX (FALL),39.376,-120.696,2008,6,845.28,341.28,281.52
1114,MEU LIGHTNING COMPLEX (INDIAN),39.381,-123.606,2008,6,457.65,34.83,9.09
1115,SODA COMPLEX (BIG),39.416,-123.076,2008,6,799.56,342.63,197.01
1116,OPHIR,39.441,-121.567,2008,6,418.14,250.56,28.17
1117,SODA COMPLEX (MILL),39.477,-123.085,2008,6,1435.86,450.81,172.26
1118,SODA COMPLEX (MONKEY  ROCK),39.544,-122.968,2008,6,722.43,226.17,54.27
1119,CRAIG,39.581,-121.347,2008,8,712.71,211.59,471.69
1120,CANYON COMPLEX (FRIEND-DARNELL),39.632,-121.312,2008,7,1687.41,687.15,736.38
1121,HUMBOLDT,39.703,-121.683,2008,6,9615.96,6086.43,1211.31
1122,MEU LIGHTNING COMPLEX (HARDY),39.708,-123.768,2008,6,2212.65,666.45,102.78
1123,MEU LIGHTNING COMPLEX (BUTCH),39.71,-123.173,2008,7,986.58,217.71,27.18
1124,CANYON COMPLEX (SCOTCH),39.722,-121.191,2008,6,10689.66,4945.86,2160.0
1125,CANYON COMPLEX (FOUR MILE),39.755,-121.339,2008,6,1162.62,542.97,109.62
1126,MEU LIGHTNING COMPLEX (MIDDLE),39.761,-123.8,2008,6,843.75,299.16,25.2
1127,CANYON COMPLEX (LITTLE),39.765,-121.248,2008,6,654.66,183.42,24.57
1128,MEU LIGHTNING COMPLEX (LOST PIPE),39.779,-123.714,2008,7,577.17,109.89,49.41
1129,CANYON COMPLEX (COLD),39.835,-120.807,2008,6,2408.13,610.65,1550.52
1130,CANYON COMPLEX (BEAR),39.845,-121.381,2008,6,614.43,299.7,14.94
1131,BTU LIGHTNING COMPLEX (LONG BRANCH-JACK),39.852,-121.444,2008,8,20930.85,8488.53,8612.46
1132,WHISKEY,39.855,-122.669,2008,6,3135.24,1849.14,302.49
1133,MEU LIGHTNING COMPLEX (RED MOUNTAIN),39.892,-123.639,2008,6,3089.34,1337.22,132.3
1134,MEU LIGHTNING COMPLEX (TRAVIS),40.017,-123.227,2008,7,607.95,135.18,12.96
1135,RICH,40.04,-121.137,2008,7,2702.25,1174.05,1119.42
1136,BTU LIGHTNING COMPLEX (SMOKEY),40.063,-121.621,2008,6,576.09,195.93,257.94
1137,COLYEAR,40.078,-122.679,2008,5,714.96,358.92,32.04
